local_bsz,placement,step_time,sync_time
4,1,0.1865890473127365,0.0012578359916806219
6,1,0.27864374220371246,0.0012618359997868536
8,1,0.22894027829170227,0.001261197991669178
11,1,0.3057585805654526,0.0012695339918136598
16,1,0.31624719500541687,0.0012738640084862707
4,2,0.29025766253471375,0.10859694290161134
6,2,0.34611091017723083,0.08299359774589539
8,2,0.30459222197532654,0.10864383220672609
11,2,0.37176528573036194,0.05693859243392945
16,2,0.3783128261566162,0.07086982464790344
4,3,0.3771486282348633,0.1804873914718628
6,3,0.4946500062942505,0.18019465637207033
8,3,0.410356730222702,0.18255457401275632
11,3,0.5078713297843933,0.14331195831298826
16,3,0.5177929997444153,0.14883765983581546
4,4,0.4186307042837143,0.20581669902801514
6,4,0.5604911595582962,0.1991592721939087
8,4,0.4748343229293823,0.22123292446136472
11,4,0.5834605395793915,0.17819818687438962
16,4,0.5752160251140594,0.1760523452758789
