local_bsz,step_time,sync_time,num_nodes,num_replicas
4,0.14855386316776276,0.003084479987621307,1,1
6,0.15004055202007294,0.003073663979768753,1,1
8,0.15639086067676544,0.0030827519744634634,1,1
11,0.1630861461162567,0.0030862079858779905,1,1
16,0.18609191477298737,0.003087167993187904,1,1
23,0.21993352472782135,0.0030785279422998434,1,1
33,0.2689879238605499,0.003071167975664138,1,1
47,0.33834223449230194,0.003076992064714432,1,1
48,0.3417792171239853,0.003075583934783936,1,1
4,0.13055755198001862,0.008750335991382599,2,2
6,0.1317991465330124,0.008968640178442,2,2
8,0.13644522428512573,0.008323135882616043,2,2
11,0.14851762354373932,0.00799564802646637,2,2
16,0.17620784044265747,0.008201855927705764,2,2
23,0.2089442014694214,0.008400959968566895,2,2
33,0.25651511549949646,0.008129791975021363,2,2
47,0.32494084537029266,0.008439039885997772,2,2
48,0.32996779680252075,0.008425280034542086,2,2
4,0.13761217892169952,0.014171711921691893,2,3
6,0.13973382115364075,0.014309183955192569,2,3
8,0.14822466671466827,0.014707391917705539,2,3
11,0.1611308753490448,0.014743360161781313,2,3
16,0.1859692931175232,0.014222335994243622,2,3
23,0.2180694192647934,0.014692031919956206,2,3
33,0.2687545269727707,0.014919999957084654,2,3
47,0.3342379927635193,0.014464255928993223,2,3
48,0.3379036486148834,0.01416864001750946,2,3
4,0.13285894691944122,0.010224128007888793,2,4
6,0.13549841940402985,0.01210745596885681,2,4
8,0.13874419033527374,0.010232127964496613,2,4
11,0.15199294686317444,0.010029119968414307,2,4
16,0.1788509041070938,0.010459264039993286,2,4
23,0.2125217765569687,0.010123903930187226,2,4
33,0.2599792778491974,0.010181952059268952,2,4
47,0.3298967629671097,0.0102817280292511,2,4
48,0.33441755175590515,0.010235904097557067,2,4
4,0.1378026306629181,0.02124467194080353,2,5
6,0.14276783168315887,0.020318591713905335,2,5
8,0.1534610092639923,0.018926528096199036,2,5
11,0.1637468785047531,0.01823295998573303,2,5
16,0.18627533316612244,0.01758201622962952,2,5
23,0.2192235291004181,0.017282751917839054,2,5
33,0.26858820021152496,0.017925439953804016,2,5
47,0.33745959401130676,0.01828153610229492,2,5
48,0.34207484126091003,0.01763161587715149,2,5
4,0.13989664614200592,0.021125120043754577,2,6
6,0.14411097764968872,0.019908671975135805,2,6
8,0.15256239473819733,0.0180279678106308,2,6
11,0.16373775899410248,0.017192063927650453,2,6
16,0.1900910884141922,0.017291263937950135,2,6
23,0.22060726583003998,0.017138239979743956,2,6
33,0.26893429458141327,0.017260159969329836,2,6
47,0.3375251889228821,0.01761023998260498,2,6
48,0.34310829639434814,0.018142847776412965,2,6
4,0.14121301472187042,0.020162688136100768,2,7
6,0.14525917172431946,0.019892223954200743,2,7
8,0.15445852279663086,0.019914688110351565,2,7
11,0.1665564626455307,0.017840960025787354,2,7
16,0.1895708590745926,0.01761740803718567,2,7
23,0.22266274690628052,0.017888512134552004,2,7
33,0.2704065144062042,0.01847251200675964,2,7
47,0.33890247344970703,0.018179263949394227,2,7
48,0.3469673991203308,0.018749695897102354,2,7
4,0.1488809883594513,0.031209728360176082,2,8
6,0.1516703963279724,0.027927552103996278,2,8
8,0.1539563536643982,0.02103430378437042,2,8
11,0.1656721979379654,0.019882303953170772,2,8
16,0.1894315928220749,0.01958169603347779,2,8
23,0.22406882047653198,0.019757311940193173,2,8
33,0.274271622300148,0.01962143993377686,2,8
47,0.3406289666891098,0.020854912161827083,2,8
48,0.34584638476371765,0.02075660812854767,2,8
4,0.15313443541526794,0.03584224009513855,2,9
6,0.15535396337509155,0.03271321630477906,2,9
8,0.16127251088619232,0.02869945573806763,2,9
11,0.1700829267501831,0.024197504043579104,2,9
16,0.19407808780670166,0.02260415983200073,2,9
23,0.22824478149414062,0.023379584193229677,2,9
33,0.2751731127500534,0.02304038405418396,2,9
47,0.3424280285835266,0.02385260808467865,2,9
48,0.34762753546237946,0.023854399919509883,2,9
4,0.12830302119255066,0.007976512044668198,1,2
6,0.13045267760753632,0.00795398396253586,1,2
8,0.1366780549287796,0.008065408021211624,1,2
11,0.1486511081457138,0.007944256097078321,1,2
16,0.17520979046821594,0.007859776020050047,1,2
23,0.20822738111019135,0.00791404801607132,1,2
33,0.257258802652359,0.007950080037117004,1,2
47,0.32508033514022827,0.00789343997836113,1,2
48,0.33122725784778595,0.008122496038675308,1,2
4,0.12899355590343475,0.014610944032669066,2,4
6,0.1316075623035431,0.01076844799518585,2,4
8,0.13826793432235718,0.010240063965320586,2,4
11,0.15323716402053833,0.010302912056446076,2,4
16,0.17796087265014648,0.010591808021068572,2,4
23,0.2134266197681427,0.010421376109123229,2,4
33,0.26277534663677216,0.010410624027252197,2,4
47,0.33103518187999725,0.010788416028022767,2,4
48,0.3331098109483719,0.010285504043102264,2,4
4,0.13520483672618866,0.018352768003940582,2,5
6,0.13741526007652283,0.01160063999891281,2,5
8,0.14305703341960907,0.01129222387075424,2,5
11,0.15512599050998688,0.010933311998844147,2,5
16,0.18048225343227386,0.011143103957176206,2,5
23,0.2153438925743103,0.011812415957450867,2,5
33,0.2634124755859375,0.011898239850997926,2,5
47,0.33057214319705963,0.01248416006565094,2,5
48,0.3367868810892105,0.013285695970058442,2,5
4,0.1432659775018692,0.026165376305580138,2,6
6,0.14407174289226532,0.020326143860816954,2,6
8,0.15329690277576447,0.01868198394775391,2,6
11,0.1643763929605484,0.017992128014564512,2,6
16,0.18859566748142242,0.017704576015472415,2,6
23,0.22203494608402252,0.01766540789604187,2,6
33,0.27058878540992737,0.018301888108253478,2,6
47,0.3375396877527237,0.018696896195411677,2,6
48,0.3433642089366913,0.018736640214920042,2,6
4,0.13905110955238342,0.023543103933334354,2,7
6,0.14472605288028717,0.02094540798664093,2,7
8,0.15110187232494354,0.01866278398036957,2,7
11,0.16489478945732117,0.018774079799652097,2,7
16,0.1891331970691681,0.018402943730354306,2,7
23,0.2225511223077774,0.018322368025779724,2,7
33,0.2715996503829956,0.019303231954574583,2,7
47,0.3396178185939789,0.019154816150665284,2,7
48,0.3431951105594635,0.019421376109123232,2,7
4,0.14554336667060852,0.031047552108764646,2,8
6,0.1491861492395401,0.02662022435665131,2,8
8,0.1561170518398285,0.023328703999519345,2,8
11,0.1684335321187973,0.02226905596256256,2,8
16,0.1922120600938797,0.020446400046348567,2,8
23,0.22560182213783264,0.020087808132171633,2,8
33,0.2753704935312271,0.021080832123756412,2,8
47,0.34141550958156586,0.020954495787620545,2,8
48,0.3443877846002579,0.0205331836938858,2,8
4,0.14569436013698578,0.02900281643867493,2,9
6,0.14956504106521606,0.024240895986557008,2,9
8,0.15566882491111755,0.022071168065071107,2,9
11,0.16700075566768646,0.020203968048095704,2,9
16,0.19052085280418396,0.01939814412593841,2,9
23,0.22626422345638275,0.019403968214988708,2,9
33,0.2720550298690796,0.019501183986663815,2,9
47,0.3394705504179001,0.019112191915512083,2,9
48,0.34690214693546295,0.019221887946128842,2,9
4,0.14720572531223297,0.03289471971988678,2,10
6,0.14890505373477936,0.024336767792701722,2,10
8,0.1563793122768402,0.02180608010292053,2,10
11,0.16798575222492218,0.018965504288673402,2,10
16,0.19174247980117798,0.018872192025184628,2,10
23,0.22798846662044525,0.018596928119659423,2,10
33,0.27130208909511566,0.019139968276023864,2,10
47,0.3408256024122238,0.01971155178546906,2,10
48,0.3434622138738632,0.019244543790817262,2,10
4,0.1274879425764084,0.01026470398902893,1,3
6,0.13259829580783844,0.009846144080162048,1,3
8,0.13712665438652039,0.010196672022342682,1,3
11,0.14968426525592804,0.009621375977993011,1,3
16,0.17671188712120056,0.009781248033046723,1,3
23,0.2101714015007019,0.009692607998847962,1,3
33,0.25741662085056305,0.009520255923271182,1,3
47,0.32673613727092743,0.009294656038284303,1,3
48,0.33137352764606476,0.009467136025428771,1,3
4,0.135404571890831,0.015743039906024933,2,6
6,0.13616791367530823,0.011835775971412657,2,6
8,0.14642859995365143,0.012233407855033875,2,6
11,0.15597929060459137,0.011175296008586884,2,6
16,0.18005847930908203,0.011137216031551362,2,6
23,0.21488253772258759,0.011956287980079652,2,6
33,0.26424311101436615,0.012533375978469848,2,6
47,0.33062131702899933,0.012145792007446287,2,6
48,0.33848968148231506,0.013818559885025025,2,6
4,0.1332036405801773,0.015910207867622372,2,7
6,0.13528548181056976,0.01235308802127838,2,7
8,0.1443854570388794,0.012332544088363645,2,7
11,0.15500202775001526,0.011840575993061066,2,7
16,0.18158438801765442,0.011261183977127076,2,7
23,0.21455475687980652,0.012210240066051484,2,7
33,0.26325878500938416,0.012055743992328642,2,7
47,0.33197133243083954,0.012607488095760348,2,7
48,0.33627212047576904,0.013102336108684541,2,7
4,0.14902274310588837,0.03472467184066772,2,8
6,0.1528477966785431,0.02799974381923675,2,8
8,0.15902332961559296,0.02464915215969086,2,8
11,0.1683974415063858,0.022008639812469477,2,8
16,0.1913522630929947,0.019867775917053222,2,8
23,0.2247372269630432,0.0204956157207489,2,8
33,0.27287040650844574,0.02087660789489746,2,8
47,0.34238509833812714,0.022532159805297852,2,8
48,0.3477466553449631,0.021866111993789673,2,8
4,0.1463361531496048,0.028206655859947208,2,9
6,0.14821185171604156,0.023086591958999637,2,9
8,0.15475867688655853,0.019605823874473575,2,9
11,0.16705013811588287,0.018859135866165163,2,9
16,0.18977472186088562,0.018026688098907475,2,9
23,0.2233450710773468,0.018436479806900025,2,9
33,0.27116259932518005,0.018629311919212344,2,9
47,0.3404174745082855,0.020085631847381595,2,9
48,0.34646719694137573,0.020058303713798527,2,9
4,0.144093319773674,0.029287487864494324,2,10
