local_bsz,placement,step_time,sync_time
4,1,0.2128133624792099,0.006154426068067551
6,1,0.2543106824159622,0.006139991998672486
8,1,0.29734380543231964,0.006140677958726882
11,1,0.3644397556781769,0.006151295989751816
16,1,0.46643970906734467,0.006129533976316452
23,1,0.6216996312141418,0.006134357988834381
24,1,0.6410521864891052,0.006138387978076934
4,2,0.40066494047641754,0.20024349975585934
6,2,0.41541799902915955,0.17243222045898438
8,2,0.4350355416536331,0.14719552898406985
11,2,0.46493659913539886,0.11120889759063722
16,2,0.5451852977275848,0.07787789964675902
23,2,0.6848434507846832,0.07921127367019654
24,2,0.7113834172487259,0.08101965188980102
4,3,0.4568048566579819,0.2544846820831299
6,3,0.4560645669698715,0.21130152320861817
8,3,0.4818105846643448,0.19168255615234378
11,3,0.5445097386837006,0.1850251922607422
16,3,0.5886303037405014,0.11216567754745482
23,3,0.7162560969591141,0.09850142240524291
24,3,0.732842892408371,0.09403810930252075
4,4,0.5088526606559753,0.30986485481262205
6,4,0.5169940739870071,0.27301049804687505
8,4,0.5704925060272217,0.2822327728271485
11,4,0.6049702167510986,0.24997552585601804
16,4,0.6247511953115463,0.15211981868743898
23,4,0.7395982146263123,0.11293809032440186
24,4,0.7592046558856964,0.1099576196670532
