local_bsz,step_time,sync_time,num_nodes,num_replicas
4,0.2128133624792099,0.006154426068067551,1,1
6,0.2543106824159622,0.006139991998672486,1,1
8,0.29734380543231964,0.006140677958726882,1,1
11,0.3644397556781769,0.006151295989751816,1,1
16,0.46643970906734467,0.006129533976316452,1,1
23,0.6216996312141418,0.006134357988834381,1,1
24,0.6410521864891052,0.006138387978076934,1,1
4,0.40066494047641754,0.20024349975585934,1,2
6,0.41541799902915955,0.17243222045898438,1,2
8,0.4350355416536331,0.14719552898406985,1,2
11,0.46493659913539886,0.11120889759063722,1,2
16,0.5451852977275848,0.07787789964675902,1,2
23,0.6848434507846832,0.07921127367019654,1,2
24,0.7113834172487259,0.08101965188980102,1,2
4,0.4568048566579819,0.2544846820831299,1,3
6,0.4560645669698715,0.21130152320861817,1,3
8,0.4818105846643448,0.19168255615234378,1,3
11,0.5445097386837006,0.1850251922607422,1,3
16,0.5886303037405014,0.11216567754745482,1,3
23,0.7162560969591141,0.09850142240524291,1,3
24,0.732842892408371,0.09403810930252075,1,3
4,0.5088526606559753,0.30986485481262205,1,4
6,0.5169940739870071,0.27301049804687505,1,4
8,0.5704925060272217,0.2822327728271485,1,4
11,0.6049702167510986,0.24997552585601804,1,4
16,0.6247511953115463,0.15211981868743898,1,4
23,0.7395982146263123,0.11293809032440186,1,4
24,0.7592046558856964,0.1099576196670532,1,4
