local_bsz,step_time,sync_time,placement
4,0.14855386316776276,0.003084479987621307,1
6,0.15004055202007294,0.003073663979768753,1
8,0.15639086067676544,0.0030827519744634634,1
11,0.1630861461162567,0.0030862079858779905,1
16,0.18609191477298737,0.003087167993187904,1
23,0.21993352472782135,0.0030785279422998434,1
33,0.2689879238605499,0.003071167975664138,1
47,0.33834223449230194,0.003076992064714432,1
48,0.3417792171239853,0.003075583934783936,1
4,0.13055755198001862,0.008750335991382599,11
6,0.1317991465330124,0.008968640178442,11
8,0.13644522428512573,0.008323135882616043,11
11,0.14851762354373932,0.00799564802646637,11
16,0.17620784044265747,0.008201855927705764,11
23,0.2089442014694214,0.008400959968566895,11
33,0.25651511549949646,0.008129791975021363,11
47,0.32494084537029266,0.008439039885997772,11
48,0.32996779680252075,0.008425280034542086,11
4,0.13761217892169952,0.014171711921691893,12
6,0.13973382115364075,0.014309183955192569,12
8,0.14822466671466827,0.014707391917705539,12
11,0.1611308753490448,0.014743360161781313,12
16,0.1859692931175232,0.014222335994243622,12
23,0.2180694192647934,0.014692031919956206,12
33,0.2687545269727707,0.014919999957084654,12
47,0.3342379927635193,0.014464255928993223,12
48,0.3379036486148834,0.01416864001750946,12
4,0.13285894691944122,0.010224128007888793,13
6,0.13549841940402985,0.01210745596885681,13
8,0.13874419033527374,0.010232127964496613,13
11,0.15199294686317444,0.010029119968414307,13
16,0.1788509041070938,0.010459264039993286,13
23,0.2125217765569687,0.010123903930187226,13
33,0.2599792778491974,0.010181952059268952,13
47,0.3298967629671097,0.0102817280292511,13
48,0.33441755175590515,0.010235904097557067,13
4,0.1378026306629181,0.02124467194080353,14
6,0.14276783168315887,0.020318591713905335,14
8,0.1534610092639923,0.018926528096199036,14
11,0.1637468785047531,0.01823295998573303,14
16,0.18627533316612244,0.01758201622962952,14
23,0.2192235291004181,0.017282751917839054,14
33,0.26858820021152496,0.017925439953804016,14
47,0.33745959401130676,0.01828153610229492,14
48,0.34207484126091003,0.01763161587715149,14
4,0.13989664614200592,0.021125120043754577,15
6,0.14411097764968872,0.019908671975135805,15
8,0.15256239473819733,0.0180279678106308,15
11,0.16373775899410248,0.017192063927650453,15
16,0.1900910884141922,0.017291263937950135,15
23,0.22060726583003998,0.017138239979743956,15
33,0.26893429458141327,0.017260159969329836,15
47,0.3375251889228821,0.01761023998260498,15
48,0.34310829639434814,0.018142847776412965,15
4,0.14121301472187042,0.020162688136100768,16
6,0.14525917172431946,0.019892223954200743,16
8,0.15445852279663086,0.019914688110351565,16
