local_bsz,step_time,sync_time,placement
4,0.19173000752925873,0.00456115198135376,1
6,0.23304663598537445,0.004531711935997009,1
8,0.27499839663505554,0.004560767948627472,1
11,0.33023466169834137,0.004552767932415008,1
16,0.4392738938331604,0.004560703963041307,1
23,0.5847193598747253,0.004566783994436264,1
33,0.7813377231359482,0.0045623680651187895,1
36,0.8657241761684418,0.0045720959901809684,1
4,0.2142372876405716,0.018715072154998777,11
6,0.2519626021385193,0.01879635214805603,11
8,0.2905295193195343,0.018721919894218446,11
11,0.3413383364677429,0.018663359999656678,11
16,0.44660207629203796,0.018902463793754577,11
23,0.5892077684402466,0.018913984060287475,11
33,0.7826557457447052,0.0188049920797348,11
36,0.8686400502920151,0.019043904185295103,11
4,0.29831403493881226,0.09691852807998658,12
6,0.32317543029785156,0.08451616048812866,12
8,0.35932686924934387,0.07915718412399292,12
11,0.40355293452739716,0.06801676845550537,12
16,0.5061679929494858,0.06694924879074098,12
23,0.6382931768894196,0.0585671043395996,12
33,0.8219426721334457,0.05202233600616455,12
36,0.9030413925647736,0.0511701123714447,12
4,0.4445202201604843,0.2554764804840088,13
6,0.4659093916416168,0.23382028865814208,13
8,0.48986369371414185,0.21476115226745604,13
11,0.5163333714008331,0.1831736307144165,13
16,0.5855270475149155,0.14535360050201415,13
23,0.7143294662237167,0.12910348749160766,13
33,0.8946229964494705,0.11474943923950195,13
36,0.9788743257522583,0.11646195125579833,13
4,0.5300876945257187,0.3399412441253662,14
6,0.5501152724027634,0.31906226921081543,14
8,0.5754977613687515,0.30173126411437984,14
11,0.6049854010343552,0.27299654388427735,14
16,0.6643022745847702,0.22342636871337887,14
23,0.7440218925476074,0.1559477758407593,14
33,0.9110170006752014,0.13137382555007932,14
36,0.9937812089920044,0.12990483283996582,14
4,0.6182777136564255,0.43006771278381345,15
6,0.6379916071891785,0.4100486392974853,15
8,0.6614018678665161,0.3902908782958984,15
11,0.6919701099395752,0.3635419540405273,15
16,0.7536249309778214,0.3185620498657226,15
23,0.8319223672151566,0.24937158393859865,15
33,0.9417420327663422,0.16417484760284426,15
36,1.0250432193279266,0.16334700775146488,15
4,0.7091077566146851,0.5194046745300293,16
6,0.7295749336481094,0.5000118389129639,16
8,0.7548466771841049,0.4828446750640868,16
11,0.7839627712965012,0.45524377441406255,16
16,0.8477458655834198,0.40910444641113275,16
23,0.9278736412525177,0.34266035079956053,16
33,1.0313692390918732,0.25284633731842043,16
36,1.0698487609624863,0.20775699043273924,16
4,0.8036886006593704,0.6183466262817383,17
6,0.8257034718990326,0.5991720962524414,17
8,0.8503493666648865,0.5801714630126952,17
11,0.881652906537056,0.5543580818176269,17
16,0.9438184499740601,0.5089631958007813,17
23,1.0252763777971268,0.4435923233032226,17
33,1.1339980214834213,0.35754156684875493,17
36,1.185571476817131,0.32489318466186523,17
4,0.9215151220560074,0.7366714324951172,18
6,0.9439554363489151,0.7182461395263673,18
8,0.9644046574831009,0.6965073928833009,18
11,0.9993395358324051,0.6740147247314452,18
16,1.0587358623743057,0.626456256866455,18
23,1.135064885020256,0.5561287727355956,18
33,1.2451500594615936,0.4732241954803467,18
36,1.2952025383710861,0.43408614158630376,18
4,0.2592260241508484,0.03181337571144104,2
6,0.29552707076072693,0.0316683521270752,2
8,0.33289873600006104,0.03165254402160644,2
11,0.3806869387626648,0.03151955223083496,2
16,0.4757867157459259,0.031529791951179505,2
23,0.6105116903781891,0.03119596791267395,2
33,0.8054172843694687,0.031004672050476075,2
36,0.8851573765277863,0.030994624018669124,2
4,0.37946435809135437,0.16999654293060304,22
6,0.39965303242206573,0.15050534439086913,22
8,0.43018510937690735,0.13721900749206542,22
11,0.46808817982673645,0.11749171257019043,22
16,0.5582165420055389,0.1004040961265564,22
23,0.6950445473194122,0.0980430727005005,22
33,0.8745958358049393,0.09221721458435059,22
36,0.9540098160505295,0.08916940784454344,22
4,0.4643722027540207,0.2626771831512451,23
6,0.4857519119977951,0.2433875837326049,23
8,0.5087084472179413,0.22373977565765385,23
11,0.5363902449607849,0.19275673484802247,23
16,0.5968655794858932,0.14334668827056882,23
23,0.7160947173833847,0.11742335987091063,23
33,0.8945302069187164,0.10939871978759766,23
36,0.9778037220239639,0.10985958385467531,23
4,0.5499769151210785,0.35314988517761225,24
6,0.5699707716703415,0.3319301738739014,24
8,0.5932485163211823,0.3128471031188965,24
11,0.6235413700342178,0.28438329696655273,24
16,0.6821353584527969,0.23393273544311521,24
23,0.7555794417858124,0.16142463874816892,24
33,0.9160125106573105,0.13288780736923217,24
36,0.9976054728031158,0.13067583990097045,24
4,0.6359342187643051,0.43995071792602536,25
6,0.6582997739315033,0.4230318737030029,25
8,0.6783934384584427,0.4004686737060547,25
11,0.7097026705741882,0.37461804771423335,25
16,0.7720822542905807,0.3297259559631348,25
23,0.8482910096645355,0.2572465286254883,25
33,0.950618326663971,0.16760364723205565,25
36,1.0258648246526718,0.1586719369888306,25
4,0.7235854268074036,0.5304279632568359,26
6,0.7452197223901749,0.5107553348541259,26
8,0.7683198601007462,0.4921037464141846,26
11,0.8000821620225906,0.4648224639892578,26
16,0.8618449419736862,0.4177939224243164,26
23,0.9412998855113983,0.3517150707244874,26
33,1.048300102353096,0.2673510417938232,26
36,1.0891228467226028,0.2250414752960205,26
4,0.8161885440349579,0.6233235206604003,27
6,0.8396987318992615,0.606189697265625,27
8,0.8629448413848877,0.5861500091552735,27
11,0.8916244506835938,0.558813892364502,27
16,0.9553389400243759,0.512597635269165,27
23,1.0368055254220963,0.45038649749755855,27
33,1.1463455557823181,0.36655942153930676,27
36,1.1962559819221497,0.331426498413086,27
4,0.9442143142223358,0.7526372413635255,28
6,0.9640140384435654,0.7317367057800295,28
8,0.9881377071142197,0.7147827835083009,28
11,1.0204024612903595,0.6892218246459961,28
16,1.0791647285223007,0.6377043800354004,28
23,1.1560499668121338,0.5704777526855469,28
33,1.2657766044139862,0.485990463256836,28
36,1.315439835190773,0.45504204750061034,28
4,0.3291100114583969,0.10862598419189452,3
6,0.34857769310474396,0.08789119958877564,3
8,0.3717386722564697,0.06727174401283263,3
11,0.4169000834226608,0.06279846429824829,3
16,0.5090971887111664,0.06166636848449706,3
23,0.6445112526416779,0.05950611233711242,3
33,0.830351248383522,0.05724851250648499,3
36,0.909272775053978,0.05728601551055909,3
4,0.3828435391187668,0.16977324867248533,33
6,0.400814950466156,0.14715475177764895,33
8,0.42519474029541016,0.13000876903533934,33
11,0.4493296444416046,0.0946695032119751,33
16,0.5439827293157578,0.08707788848876953,33
23,0.682202085852623,0.08715731287002564,33
33,0.8696018755435944,0.08976390409469603,33
36,0.9568649083375931,0.09349100780487059,33
4,0.4674532115459442,0.2641244125366211,34
6,0.4872865229845047,0.24486272048950197,34
8,0.5098439157009125,0.2249183988571167,34
