local_bsz,step_time,sync_time,placement
20,0.1456034928560257,0.0008396159932017327,1
28,0.14813978970050812,0.0006853760033845902,1
40,0.15735314786434174,0.0006640639901161194,1
57,0.15884092450141907,0.0006666880026459693,1
81,0.1769903153181076,0.0006652159914374351,1
115,0.19887220859527588,0.0006654080003499985,1
163,0.24214287102222443,0.0006799359992146492,1
200,0.2713561952114105,0.0006649599932134151,1
20,0.12845797836780548,0.0029621120244264602,11
28,0.12279652059078217,0.0014308479912579057,11
40,0.12727901339530945,0.002575743950903416,11
57,0.13607431948184967,0.001920319996774197,11
81,0.1687363237142563,0.009568704053759576,11
115,0.18307040631771088,0.007991487845778465,11
163,0.21937628090381622,0.0019986559897661213,11
200,0.2791519910097122,0.034624896422028546,11
20,0.12646476924419403,0.0055984000377357,12
28,0.12436285614967346,0.001781823977828026,12
40,0.12994107604026794,0.005972672034054995,12
57,0.13655579090118408,0.00440012800320983,12
81,0.16664214432239532,0.011762815859168767,12
115,0.1747935712337494,0.0030000640116631984,12
163,0.24005933105945587,0.020733312249183653,12
200,0.27037858963012695,0.030259903855621818,12
20,0.13008375465869904,0.0018969599530100822,13
28,0.12806308269500732,0.007768960058689118,13
40,0.1261923462152481,0.0034439040049910542,13
57,0.13953228294849396,0.002884415961802006,13
81,0.16892637312412262,0.00967219190299511,13
115,0.17955489456653595,0.004762431979179383,13
163,0.2422012835741043,0.02367142379283905,13
200,0.2746884226799011,0.03284607918560505,13
20,0.14085961878299713,0.003013567969202995,14
28,0.1290561556816101,0.004231231980025768,14
40,0.1282956749200821,0.00707398396730423,14
57,0.13760167360305786,0.005749056048691272,14
81,0.17028158903121948,0.013973375976085663,14
115,0.1905612051486969,0.011629119746387005,14
163,0.2218765765428543,0.0075703680142760275,14
200,0.29773232340812683,0.056425664022564895,14
20,0.1267167180776596,0.0040722559913992885,15
28,0.12787532806396484,0.0038416640385985374,15
40,0.13026078045368195,0.006699072010815144,15
57,0.1425359845161438,0.008675327956676483,15
81,0.17361296713352203,0.01453542361408472,15
115,0.19198334217071533,0.0162519678324461,15
163,0.24165041744709015,0.02350508791208267,15
200,0.30144985020160675,0.05703379099071026,15
20,0.12906542420387268,0.0036337920799851416,16
28,0.1287412941455841,0.010419583976268769,16
40,0.1321633905172348,0.009763584122061731,16
57,0.14412300288677216,0.010193919956684113,16
81,0.1746089607477188,0.0193183359503746,16
115,0.20293648540973663,0.02926982355117798,16
163,0.24449652433395386,0.02913305616378784,16
200,0.3039376884698868,0.058813120469450954,16
20,0.1288229078054428,0.008388352029025554,17
28,0.12757205963134766,0.006453119941055775,17
40,0.13297364115715027,0.00942918410897255,17
57,0.14552396535873413,0.011039360061287879,17
81,0.1828795075416565,0.017722175873816012,17
115,0.1929735243320465,0.018095551908016202,17
163,0.25899262726306915,0.04204960038512945,17
200,0.3398817628622055,0.09674649485945702,17
20,0.1300259679555893,0.007566592082381248,18
28,0.13099734485149384,0.015744000017642975,18
40,0.13489557802677155,0.012201344072818757,18
57,0.1433015763759613,0.011374592140316964,18
81,0.18022219836711884,0.024686912491917613,18
115,0.19861434400081635,0.026977664411067966,18
163,0.26361440122127533,0.04765497685968875,18
200,0.3111815005540848,0.06523436802625655,18
20,0.12908311188220978,0.007368383981287479,2
28,0.12300002574920654,0.004342783976346254,2
40,0.125792995095253,0.002134335994720459,2
57,0.13688188791275024,0.004641088020056486,2
81,0.16699033975601196,0.008591168217360971,2
115,0.1908215582370758,0.014956736166030167,2
163,0.2259984016418457,0.00986156811565161,2
200,0.29004867374897003,0.044875071965157984,2
20,0.1307191103696823,0.005510656081140042,22
28,0.1297399252653122,0.005375999987125396,22
