local_bsz,step_time,sync_time,placement
32,0.043465644121170044,0.00038437600061297416,1
45,0.057381659746170044,0.0008549020029604436,1
64,0.0595131516456604,0.00028588000126183034,1
91,0.06622949242591858,0.00028583800047636033,1
129,0.07452183961868286,0.00028888199664652345,1
182,0.0847516655921936,0.0002901600040495396,1
257,0.10599736869335175,0.0002920199986547232,1
363,0.13406790792942047,0.0002915259990841151,1
513,0.16919450461864471,0.00028929799981415274,1
725,0.22750617563724518,0.00028856599889695643,1
1024,0.3097095489501953,0.0002873400039970875,1
32,0.07448722422122955,0.018327258110046384,11
45,0.07554124295711517,0.020245571970939635,11
64,0.07300947606563568,0.019426344275474548,11
91,0.07227703928947449,0.014466547906398772,11
129,0.0781189352273941,0.007072323977947235,11
182,0.08688320219516754,0.006694873988628388,11
257,0.10816332697868347,0.007239973992109299,11
363,0.13377827405929565,0.0064195219874382025,11
513,0.17429621517658234,0.007552753984928132,11
725,0.23208221793174744,0.007302762031555176,11
1024,0.3138747364282608,0.011725036025047302,11
32,0.09303872287273407,0.03675880599021912,12
45,0.0891806036233902,0.03287370419502258,12
64,0.09623882174491882,0.04306686568260193,12
91,0.09822161495685577,0.04097054386138916,12
129,0.10062173008918762,0.030281291961669923,12
182,0.10412898659706116,0.023225977897644044,12
257,0.1144821047782898,0.013545407950878142,12
363,0.13522173464298248,0.010490516066551209,12
513,0.1797017604112625,0.01410098600387573,12
725,0.23692667484283447,0.013010499954223632,12
1024,0.3201518492265181,0.015521629160100763,12
32,0.08793312311172485,0.04595767617225648,13
45,0.09378698468208313,0.04835506963729859,13
64,0.09549371898174286,0.04445734214782715,13
91,0.09081648290157318,0.034998683571815487,13
129,0.09216077625751495,0.02442803037166595,13
182,0.10342688858509064,0.022925803959369655,13
257,0.11401893198490143,0.010828501999378203,13
363,0.13724569976329803,0.011464813917875289,13
513,0.1756497472524643,0.010041839957237243,13
725,0.23488893111546835,0.009698381344477335,13
1024,0.31408493859427317,0.009605567932128906,13
32,0.09536515176296234,0.04473847603797912,14
45,0.09945812821388245,0.046969056129455566,14
64,0.1023964136838913,0.04919981980323791,14
91,0.1090645045042038,0.049424415826797484,14
129,0.11023235321044922,0.03970965766906739,14
182,0.1110217422246933,0.030229396224021914,14
257,0.11838424205780029,0.012794202029705047,14
363,0.13973595201969147,0.01466476786136627,14
513,0.1820063931601388,0.01636517245428903,14
725,0.24019095301628113,0.016752408027648928,14
1024,0.3193299174308777,0.01740716791152954,14
32,0.10823509097099304,0.06510197806358337,15
45,0.09701874852180481,0.06558648991584778,15
64,0.10794654488563538,0.06021740198135376,15
91,0.10399512946605682,0.04867912602424621,15
129,0.11297406256198883,0.04288939452171325,15
182,0.10488943755626678,0.024661806106567385,15
257,0.11253476142883301,0.011174950063228608,15
363,0.1401546597480774,0.012585648000240326,15
513,0.1789318864995783,0.011920537948608397,15
725,0.23685642083485922,0.01013646936416626,15
1024,0.32356905937194824,0.012210975646972657,15
32,0.10796582698822021,0.055349663734436026,16
45,0.1066703200340271,0.055298956155776985,16
64,0.10810796916484833,0.060457764148712165,16
91,0.1087498664855957,0.04433661222457887,16
129,0.10881774127483368,0.034321105718612674,16
182,0.11661601066589355,0.03339249396324157,16
257,0.12410205602645874,0.020496131896972653,16
363,0.14150144372667586,0.015882473400660922,16
513,0.18236324191093445,0.013985251903533936,16
725,0.24022561311721802,0.01553755211830139,16
1024,0.32059383392333984,0.017646015167236326,16
32,0.10468842089176178,0.05939005589485168,17
45,0.09842681884765625,0.055133267402648935,17
64,0.09317691624164581,0.04966167020797729,17
91,0.09727020561695099,0.043600277662277226,17
129,0.09981662034988403,0.03115584599971772,17
182,0.10693766176700592,0.026839649915695186,17
257,0.11738555133342743,0.017240084052085877,17
363,0.13894363244374594,0.015122008005777995,17
513,0.178879942212786,0.01493507194519043,17
725,0.23790129025777182,0.017431562423706054,17
1024,0.31917262077331543,0.01717689514160156,17
32,0.1032186895608902,0.05509233498573304,18
45,0.10270008444786072,0.04835653376579284,18
64,0.09856308996677399,0.0472742760181427,18
91,0.10199548304080963,0.04665440583229064,18
129,0.10969290137290955,0.04099722981452942,18
182,0.1114349365234375,0.03251461744308472,18
257,0.12172898650169373,0.024838292181491854,18
363,0.14345979690551758,0.018742851161956783,18
513,0.18289079666137695,0.017417555236816408,18
725,0.24303770065307617,0.020200688362121584,18
32,0.06744210422039032,0.01997288382053375,2
45,0.0709971934556961,0.02171866011619568,2
64,0.0699358582496643,0.017476375818252562,2
91,0.07109667360782623,0.010862530142068862,2
129,0.07931502163410187,0.007324517995119094,2
182,0.08891686797142029,0.007139024019241333,2
257,0.10705144703388214,0.008227917969226837,2
363,0.13277705013751984,0.00967905396223068,2
513,0.17217755317687988,0.01148022398352623,2
725,0.23056499660015106,0.010694714069366455,2
1024,0.31155093014240265,0.013075797975063322,2
32,0.09728579223155975,0.04856482577323914,22
45,0.10371005535125732,0.04655426001548767,22
64,0.10142607986927032,0.04913429999351501,22
91,0.09589062631130219,0.03719275009632111,22
129,0.09581828117370605,0.026486555933952334,22
182,0.11694300174713135,0.03728719210624695,22
257,0.11670659482479095,0.013319564044475554,22
363,0.1413625180721283,0.01083763998746872,22
513,0.17859184741973877,0.01199071204662323,22
725,0.23727830251057944,0.010735885381698609,22
1024,0.32147015844072613,0.009428521156311034,22
32,0.09739881753921509,0.04788628029823303,23
45,0.09610004723072052,0.04862090945243835,23
64,0.10438917577266693,0.050420381546020514,23
91,0.10603035986423492,0.04732135796546935,23
129,0.10011762380599976,0.03127051198482513,23
182,0.11447411775588989,0.029829720139503482,23
257,0.1137644499540329,0.014717179954051971,23
363,0.13870224356651306,0.016361272156238556,23
513,0.17866405418940953,0.015005878857203893,23
725,0.2359168529510498,0.010528527855873108,23
1024,0.31577354669570923,0.009142647981643678,23
32,0.10610510408878326,0.06369974112510682,24
45,0.10709890723228455,0.05551477193832397,24
64,0.10831916332244873,0.05576681828498841,24
91,0.10737307369709015,0.04997952342033386,24
129,0.10319042205810547,0.03702509021759033,24
182,0.1136268824338913,0.03602171993255615,24
257,0.1202014833688736,0.018138698101043703,24
363,0.14193834364414215,0.01763680416345596,24
513,0.18050969730723987,0.014688445004549895,24
725,0.24052814642588297,0.016691274483998614,24
1024,0.32166624069213867,0.01939750417073568,24
32,0.10294364392757416,0.055440350055694566,25
45,0.10236147046089172,0.05500615787506104,25
64,0.10241159796714783,0.05275719046592713,25
91,0.10768955945968628,0.05054167628288268,25
129,0.1096653938293457,0.04068790555000306,25
182,0.11811427772045135,0.03704436826705933,25
257,0.11735247075557709,0.020931277871131894,25
363,0.14130219391414098,0.016379245826176232,25
513,0.18139943480491638,0.015118735790252686,25
725,0.23859935998916626,0.015803063869476316,25
1024,0.31787753105163574,0.015126432418823242,25
32,0.09431512653827667,0.054145134210586546,26
45,0.0966128557920456,0.05328508162498474,26
64,0.10613925755023956,0.0613849802017212,26
91,0.09802660346031189,0.044258777618408206,26
129,0.10913853347301483,0.039340566039085395,26
182,0.10718865692615509,0.02585983622074127,26
257,0.1148509681224823,0.013237966060638427,26
363,0.1413138508796692,0.015207797368367512,26
513,0.18388676643371582,0.017326811245509555,26
725,0.24044203758239746,0.015240127881368,26
1024,0.3229086399078369,0.01387001609802246,26
32,0.0965128093957901,0.03790011036396026,27
45,0.11110049486160278,0.060842291831970215,27
64,0.11504420638084412,0.06352324962615966,27
91,0.11893332004547119,0.06256401968002319,27
129,0.11841470003128052,0.049254339694976806,27
182,0.11817966401576996,0.03947057604789734,27
257,0.12255312502384186,0.01881560206413269,27
363,0.14262967109680175,0.016503494358062747,27
513,0.1843998908996582,0.018314150619506833,27
725,0.24326670169830322,0.020852911949157713,27
32,0.10643912851810455,0.057335291862487786,28
45,0.11034189164638519,0.05809391212463379,28
64,0.1042483001947403,0.057157043933868404,28
91,0.10764700174331665,0.050283993959426884,28
129,0.11302132904529572,0.04376199984550476,28
182,0.11074747145175934,0.03424022173881531,28
257,0.12015761647905622,0.018338356631142753,28
363,0.14726445078849792,0.01813966369628906,28
513,0.18630510568618774,0.019468176364898684,28
725,0.23749995231628418,0.017052608489990233,28
32,0.08164896070957184,0.030020059943199156,3
45,0.07648025453090668,0.030124232053756715,3
64,0.07809416949748993,0.02655306804180145,3
91,0.08088105916976929,0.023418699860572812,3
129,0.08573418855667114,0.011159798026084897,3
182,0.09537622332572937,0.013013887852430347,3
257,0.11063307523727417,0.008575059980154039,3
363,0.135767862200737,0.007850448042154312,3
513,0.17469818890094757,0.007976802051067352,3
725,0.23232686519622803,0.00874006187915802,3
1024,0.3130695169622248,0.00858850622177124,3
32,0.09692773222923279,0.04737392807006836,33
45,0.09588727355003357,0.04631961727142333,33
64,0.09989868104457855,0.04769674372673035,33
91,0.11848786473274231,0.058717763900756836,33
129,0.10926321148872375,0.04054927206039429,33
182,0.12262329459190369,0.0455469081401825,33
257,0.12724342942237854,0.025120258033275604,33
363,0.14449073374271393,0.018029936075210574,33
513,0.19020986557006836,0.017871935931119052,33
725,0.2428023417790731,0.01947228240966797,33
1024,0.3258676528930664,0.023189290364583334,33
32,0.10528679192066193,0.05516047596931458,34
45,0.1013062447309494,0.051071622371673585,34
64,0.09896819293498993,0.04786920619010925,34
91,0.09924237430095673,0.0426600821018219,34
129,0.11066924035549164,0.04146130800247192,34
182,0.10822631418704987,0.028547630190849313,34
257,0.11783796548843384,0.016642001748085024,34
363,0.14022239616939,0.015510646751948765,34
513,0.18196210265159607,0.017045123815536495,34
725,0.23772746324539185,0.013756320238113403,34
1024,0.3180570602416992,0.014424063682556153,34
32,0.10751946270465851,0.06405843615531923,35
45,0.10478834807872772,0.05571129965782165,35
64,0.11009722948074341,0.06105959391593933,35
91,0.10571412742137909,0.049165603876113885,35
129,0.11319287121295929,0.043808513879776,35
182,0.11440005898475647,0.03285777390003205,35
257,0.1254558265209198,0.024575635910034175,35
363,0.1451153556505839,0.01871008038520813,35
513,0.18230972971235002,0.014454596655709402,35
725,0.24271114667256674,0.0163416748046875,35
1024,0.32466816902160645,0.017341344833374024,35
32,0.10596805810928345,0.059659655570983884,36
45,0.10489021241664886,0.06307561349868775,36
64,0.1111869215965271,0.05759477591514586,36
91,0.11467726528644562,0.06288982200622559,36
129,0.12149403989315033,0.05203177571296692,36
182,0.12459386885166168,0.04158756995201111,36
257,0.12448018789291382,0.024254770040512085,36
363,0.1463688611984253,0.0167555006980896,36
513,0.18286776542663574,0.015905100822448733,36
725,0.24232256412506104,0.015747983932495116,36
32,0.09283891320228577,0.057551654338836675,37
45,0.10602131485939026,0.06030031991004944,37
64,0.10655426979064941,0.06742571401596069,37
91,0.1096578985452652,0.05663727760314942,37
129,0.10849460959434509,0.04375244855880736,37
182,0.11394290626049042,0.03611760067939758,37
257,0.12708399977002824,0.026012916564941403,37
363,0.14500674605369568,0.019417408227920534,37
513,0.18392938375473022,0.018942567825317384,37
725,0.24158453941345215,0.020768768310546876,37
32,0.11165505647659302,0.06244422912597656,38
45,0.104522705078125,0.05518188142776488,38
64,0.10738734900951385,0.057238360404968255,38
91,0.10728487372398376,0.06189254021644592,38
129,0.11471639573574066,0.049213776350021374,38
182,0.11634843051433563,0.03561229002475739,38
257,0.1274238626162211,0.028954663912455242,38
363,0.14880010059901647,0.02963328443254743,38
513,0.18568642934163412,0.017734538396199543,38
725,0.24546003341674805,0.020818399429321288,38
32,0.08414937555789948,0.03558284974098206,4
45,0.08138817548751831,0.03169592976570129,4
64,0.08109013736248016,0.029882737994194036,4
91,0.0834125280380249,0.027149956107139588,4
129,0.0939609706401825,0.02488070404529572,4
182,0.09581413865089417,0.014079191982746124,4
257,0.1153775155544281,0.01394056588411331,4
363,0.1374199241399765,0.012503708004951479,4
513,0.17807580530643463,0.013627042055130004,4
725,0.23699506123860678,0.014084930658340454,4
1024,0.32084202766418457,0.017011620521545413,4
32,0.11196617782115936,0.06172465014457703,44
45,0.10935626924037933,0.06099635791778565,44
64,0.11059243977069855,0.06515776205062868,44
91,0.10331477224826813,0.049905623674392705,44
129,0.11955474317073822,0.05379212045669556,44
182,0.12180966138839722,0.042014721870422364,44
257,0.12648165225982666,0.0302394483089447,44
363,0.14323270320892334,0.01532373332977295,44
513,0.18242597579956055,0.01423356328691755,44
725,0.24308300018310547,0.015895519892374674,44
1024,0.3233160972595215,0.01590505599975586,44
32,0.09359507262706757,0.04481317210197448,45
45,0.10915084183216095,0.07270515608787537,45
64,0.0980958491563797,0.051502366065979015,45
91,0.10710905492305756,0.046632998228073125,45
129,0.11750242114067078,0.04916744995117187,45
182,0.11347688734531403,0.03266127371788024,45
257,0.11938942968845367,0.017179617881774904,45
363,0.1473973035812378,0.02095374393463135,45
513,0.186973237991333,0.016386214447021482,45
725,0.241996169090271,0.018231743812561034,45
32,0.10210287570953369,0.05430951833724975,46
45,0.11095212399959564,0.059436944007873534,46
64,0.10525503754615784,0.05539442849159242,46
91,0.1066371351480484,0.05180199790000916,46
129,0.11043450236320496,0.04048062944412231,46
182,0.11337079107761383,0.031987309932708735,46
257,0.11697782788957868,0.01568839311599731,46
363,0.14179521799087524,0.014956879973411559,46
513,0.18423646688461304,0.01769428014755249,46
725,0.24506402015686035,0.02123593521118164,46
32,0.10356177389621735,0.05447176647186279,47
45,0.1049746572971344,0.053675106048583984,47
64,0.10904332995414734,0.058093308210372924,47
91,0.11260667443275452,0.05402154016494753,47
129,0.10768966376781464,0.03735581851005554,47
182,0.11431862413883209,0.031986788153648374,47
257,0.12020224332809448,0.014487242698669434,47
363,0.14491827147347586,0.01704170540400914,47
513,0.1841144561767578,0.01490994135538737,47
725,0.24211978912353516,0.015464927673339844,47
32,0.11407867074012756,0.06493929266929627,48
45,0.11021120846271515,0.06475644421577453,48
64,0.1195933073759079,0.067125723361969,48
91,0.11530289053916931,0.06077318787574768,48
129,0.117407888174057,0.04934572052955627,48
182,0.12448851764202118,0.04711212825775146,48
257,0.12966509298844772,0.03118671746687456,48
363,0.1460129419962565,0.021956245422363282,48
513,0.18508760134379068,0.019949962615966797,48
32,0.09419165551662445,0.04611357188224792,5
45,0.08901470899581909,0.04053164827823639,5
64,0.0901690274477005,0.04023674011230469,5
91,0.08841367065906525,0.03500211811065674,5
129,0.09737040102481842,0.032818046212196354,5
182,0.10343016684055328,0.02480172777175903,5
257,0.117835134267807,0.017442243814468385,5
363,0.13793595135211945,0.01568638217449188,5
513,0.1803163800920759,0.01634385143007551,5
725,0.238511860370636,0.015906543850898743,5
1024,0.31983739137649536,0.0158088800907135,5
32,0.10503242909908295,0.056026296138763435,55
45,0.1100456565618515,0.06235225868225098,55
64,0.10644420981407166,0.050835743904113766,55
91,0.10185040533542633,0.04677406215667725,55
129,0.12273544073104858,0.05115793466567994,55
182,0.11394175887107849,0.03245047783851624,55
257,0.12287986278533936,0.021475965908595494,55
363,0.14130425453186035,0.018002171993255614,55
513,0.18212133646011353,0.015137648105621338,55
725,0.24630284309387207,0.029870080947875976,55
32,0.11235152184963226,0.06825842356681824,56
45,0.10305379331111908,0.05108704376220703,56
64,0.10511977970600128,0.05282171821594238,56
91,0.11318305134773254,0.05311265587806701,56
129,0.11426812410354614,0.042769793272018436,56
182,0.11823080480098724,0.03510861814022065,56
257,0.13012754917144775,0.026423952102661134,56
363,0.14622364725385392,0.016861668722970145,56
513,0.18286983172098795,0.01638055483500163,56
725,0.2437422275543213,0.024731584548950195,56
32,0.12123914062976837,0.0632157964706421,57
45,0.11664439737796783,0.060541940212249755,57
64,0.11331278085708618,0.05893403029441833,57
91,0.11689193546772003,0.058234725713729854,57
129,0.11479663848876953,0.049248787641525266,57
