gpu_type,local_bsz,placement,step_time,sync_time
dgx,4,1,0.14855386316776276,0.003084479987621307
dgx,6,1,0.15004055202007294,0.003073663979768753
dgx,8,1,0.15639086067676544,0.0030827519744634634
dgx,11,1,0.1630861461162567,0.0030862079858779905
dgx,16,1,0.18609191477298737,0.003087167993187904
dgx,23,1,0.21993352472782135,0.0030785279422998434
dgx,33,1,0.2689879238605499,0.003071167975664138
dgx,47,1,0.33834223449230194,0.003076992064714432
dgx,48,1,0.3417792171239853,0.003075583934783936
rtx,4,1,0.2522909343242645,0.006434326052665711
rtx,6,1,0.3259135037660599,0.006430094093084335
rtx,8,1,0.36782753467559814,0.006432075977325439
rtx,11,1,0.4126834273338318,0.006431746006011963
rtx,12,1,0.44691599905490875,0.006431816041469574
v100,4,1,0.19173000752925873,0.00456115198135376
v100,6,1,0.23304663598537445,0.004531711935997009
v100,8,1,0.27499839663505554,0.004560767948627472
v100,11,1,0.33023466169834137,0.004552767932415008
v100,16,1,0.4392738938331604,0.004560703963041307
v100,23,1,0.5847193598747253,0.004566783994436264
v100,33,1,0.7813377231359482,0.0045623680651187895
v100,36,1,0.8657241761684418,0.0045720959901809684
quad,4,1,0.2128133624792099,0.006154426068067551
quad,6,1,0.2543106824159622,0.006139991998672486
quad,8,1,0.29734380543231964,0.006140677958726882
quad,11,1,0.3644397556781769,0.006151295989751816
quad,16,1,0.46643970906734467,0.006129533976316452
quad,23,1,0.6216996312141418,0.006134357988834381
quad,24,1,0.6410521864891052,0.006138387978076934
t4,4,1,0.45532354712486267,0.013738612174987792
t4,6,1,0.5693899691104889,0.013729131996631623
t4,8,1,0.7032617032527924,0.013705408036708831
t4,11,1,0.8552833199501038,0.013694905996322632
t4,12,1,0.9215156733989716,0.013695754051208497
