local_bsz,step_time,sync_time,placement
10,0.29913394153118134,0.0007401479929685592,1
14,0.34553565084934235,0.0007406460009515286,1
20,0.3939492553472519,0.0007418560013175011,1
28,0.5296237468719482,0.0007435420043766499,1
40,0.6618216931819916,0.0007430320009589196,1
57,1.0754915475845337,0.0007463860064744949,1
80,1.5234552770853043,0.0007463580034673212,1
10,0.37978707253932953,0.03670914393663407,11
14,0.4015805125236511,0.033712293863296515,11
20,0.483190655708313,0.04467664933204651,11
28,0.5816440582275391,0.05694998228549957,11
40,0.7176067382097244,0.044623956143856044,11
57,1.117343708872795,0.034165955878794195,11
80,1.543642982840538,0.09159741942584514,11
10,0.4431625008583069,0.06197847020626068,12
14,0.4586034566164017,0.053617160320281985,12
20,0.5649664402008057,0.08207303810119627,12
28,0.6395762264728546,0.06447756993770601,12
40,0.8359830677509308,0.08791074752807616,12
57,1.1527277678251266,0.06037547373771667,12
80,1.556416316465898,0.09778778831525282,12
10,0.6169764250516891,0.09575273084640504,13
14,0.6614050418138504,0.09316790199279783,13
20,0.7073753327131271,0.11379023885726929,13
28,0.7907346785068512,0.11726170206069947,13
40,0.920758917927742,0.13473618698120118,13
57,1.2164913614590962,0.12908088556925454,13
80,1.6130308764321464,0.15952951213291713,13
10,0.6982494294643402,0.11260041713714601,14
14,0.6975356936454773,0.10615712070465087,14
20,0.7493707090616226,0.12008407974243163,14
28,0.8176981210708618,0.12726137256622316,14
40,0.9566907246907552,0.1500217259724935,14
57,1.224126974741618,0.14461914867824976,14
80,1.6563860416412353,0.14911911849975584,14
10,0.6887882053852081,0.10671775531768798,15
14,0.7012532204389572,0.1041510920524597,15
20,0.7745182514190674,0.12654065418243407,15
28,0.8193899840116501,0.12943012857437133,15
40,0.9548364119096235,0.1390866296941584,15
57,1.2545545101165771,0.17967780303955075,15
80,1.6744778156280518,0.23404331207275395,15
10,0.6894227415323257,0.11795781373977661,16
14,0.7084150463342667,0.1114066061973572,16
20,0.7544732242822647,0.12363317537307739,16
28,0.8215132077534993,0.13119987233479816,16
40,0.9859264956580268,0.1518510080973307,16
57,1.2165972709655761,0.14417296295166016,16
80,1.6306296586990356,0.07686667442321778,16
10,0.6837576031684875,0.12229171180725097,17
14,0.7252716720104218,0.12895073461532594,17
20,0.7602002173662186,0.14078106117248532,17
28,0.8260526840503399,0.14834081796499396,17
40,0.966550520488194,0.16444254629952565,17
57,1.237500826517741,0.1571498514811198,17
80,1.6317572593688965,0.18565283203125,17
10,0.6871134340763092,0.11584817695617677,18
14,0.7192368060350418,0.11539375972747802,18
20,0.754375547170639,0.13110508966445922,18
28,0.8234527111053467,0.13429537547718395,18
40,0.9565080801645914,0.15730677795410156,18
